"x1" "x2" "x3" "x4" "y"
31 13 19.0694 75.4375 -133.349
39 14 22.727 80.3136 -163.4741
42 6 17.9498 72.4135 -206.1036
41 17 23.325 87.5603 -141.9842
30 13 19.569 71.0127 -80.2162
42 8 17.1308 64.6359 -186.0406
33 12 20.0246 82.0735 -147.2997
35 15 24.4331 96.5104 -158.3672
33 11 21.2895 77.3662 -115.9367
34 6 22.2444 83.8594 -188.2837
26 18 22.7362 88.1278 -103.9013
42 7 21.1498 85.8058 -197.2374
32 4 23.0459 91.7512 -174.1661
35 12 22.9086 86.9859 -169.2653
43 4 17.4253 70.2571 -196.0705
29 18 21.8165 88.6207 -122.9733
33 10 24.4846 92.4517 -134.2309
23 9 23.9326 89.733 -117.8014
39 8 22.9655 86.6336 -224.1445
29 12 16.9404 64.3223 -129.8097
23 10 22.8987 91.2617 -81.6683
35 9 18.1374 68.5092 -174.4386
31 13 21.1735 78.6399 -148.8175
29 8 18.1822 64.7299 -140.7242
34 10 20.8238 74.7165 -147.0736
27 17 17.2498 65.5367 -81.7982
25 13 20.6712 80.7072 -101.4737
32 13 18.2384 69.9375 -145.7889
35 4 19.1345 78.8844 -186.2894
21 11 22.9391 83.7272 -104.4276
26 6 17.6265 64.7503 -129.8095
31 8 24.9492 92.1542 -135.0632
37 12 23.2125 85.258 -178.2986
17 6 17.051 62.4041 -67.491
32 11 20.7359 78.9104 -155.6828
32 6 20.9151 79.5782 -178.9448
33 14 15.5814 56.5512 -135.0496
34 9 18.5848 70.2416 -136.6871
34 8 18.0589 65.1594 -159.984
33 13 24.1562 91.6769 -146.1977
23 7 17.4846 63.5325 -63.5226
31 12 22.6622 89.0228 -141.2116
31 13 22.5657 83.7812 -104.163
30 9 16.7665 61.7002 -120.1436
25 9 16.7808 65.3022 -104.362
31 13 23.1914 86.1453 -176.0851
36 9 19.2334 74.1745 -135.2355
30 10 15.3404 64.0179 -151.8497
47 5 15.7085 61.0085 -212.8587
25 18 23.4363 93.3168 -84.5483
23 8 20.3097 73.3368 -144.5342
27 14 18.3116 74.8734 -121.4933
36 10 19.2295 77.944 -162.1973
33 8 19.922 73.9021 -175.3697
30 6 22.3819 84.6563 -170.0815
32 7 15.5677 58.7136 -140.6032
41 9 16.396 65.9769 -171.808
37 17 16.4476 64.3126 -119.4575
28 10 23.3247 89.8707 -154.5146
28 3 22.8817 87.7169 -101.4546
33 12 19.06 78.0852 -150.3532
31 8 17.7113 66.7201 -150.116
31 10 19.4683 73.249 -149.6132
30 13 16.2766 62.5727 -84.3375
21 12 19.3501 75.7653 -63.1531
39 9 19.4251 76.3112 -191.8546
28 7 23.3563 91.3129 -115.3493
27 10 18.9908 70.666 -82.0663
30 11 16.4363 60.2823 -147.3043
32 13 16.5037 68.692 -124.9903
26 8 22.456 80.0594 -124.3996
25 9 19.2245 74.5558 -84.0986
42 15 20.3479 81.6865 -189.9872
23 9 18.6832 73.0773 -62.2789
22 4 18.2053 69.6879 -116.7857
34 9 17.3304 66.2557 -164.9051
35 9 24.9508 97.9216 -179.7392
31 8 16.1535 62.3228 -145.7589
29 5 22.5564 83.0109 -132.3827
22 10 23.0776 90.1593 -97.3373
28 7 17.1203 74.2235 -124.3979
30 6 23.2827 86.0693 -138.4247
33 15 24.2244 88.5429 -113.6176
30 9 21.3043 79.0092 -129.3686
24 8 24.9474 93.4118 -136.2895
26 9 16.693 65.7078 -142.366
37 10 16.4731 62.6151 -159.4233
39 10 23.7946 91.0763 -151.4871
22 13 15.4111 63.0619 -81.0289
26 3 18.0441 71.2715 -106.8245
32 6 19.5032 69.3119 -121.5434
34 16 16.4469 64.5784 -92.5565
26 9 21.6874 83.074 -93.4931
34 6 23.9951 94.537 -208.4957
23 12 16.1395 64.6854 -95.3462
24 14 19.9969 79.3388 -89.8879
34 9 23.2472 85.1712 -168.8513
31 13 16.3046 63.2987 -95.074
33 7 23.6853 91.3395 -174.03
28 10 18.2554 68.025 -107.7284
34 11 16.5645 61.9769 -138.2763
33 8 23.6767 88.6264 -136.0392
33 9 15.7338 54.459 -138.976
21 10 16.3518 63.283 -93.5881
26 12 23.5122 90.4282 -128.3985
43 14 17.4604 67.883 -181.0366
25 13 17.1508 64.9937 -100.5047
28 4 24.4908 94.829 -160.5555
33 12 17.4288 66.1885 -124.0453
40 8 23.6378 92.4568 -195.5996
30 12 18.3688 71.9348 -143.939
30 8 15.3514 63.3459 -108.9113
30 10 18.6749 75.5895 -119.1525
25 14 24.345 92.8175 -122.8116
28 13 17.3979 70.6204 -63.2466
30 10 20.7771 78.9646 -153.4305
35 8 19.3133 72.5692 -175.4788
28 8 24.9629 101.0626 -130.9314
44 11 19.3546 74.6139 -195.6804
38 8 18.5804 68.0801 -155.752
35 14 16.635 68.1443 -102.7244
24 14 23.9077 89.5987 -91.1753
32 10 24.1138 92.099 -121.6982
33 11 18.5555 67.0357 -134.307
39 4 15.6004 62.1304 -170.5596
31 4 17.5059 68.1572 -156.0901
34 13 16.2441 58.6251 -137.1306
40 10 23.2297 89.7928 -173.7165
34 9 24.2533 95.443 -143.9981
36 11 18.9402 74.1302 -158.0412
23 13 17.196 64.2767 -76.6825
30 13 16.9947 68.2291 -83.7346
32 7 16.8287 60.4427 -150.4512
27 15 20.8325 76.7086 -117.2707
25 12 19.2545 72.0541 -95.4315
18 10 15.3989 61.7164 -73.2273
25 7 16.1906 61.7684 -87.8159
41 11 20.467 82.1511 -211.4349
32 9 17.9454 70.9578 -126.9636
32 14 17.168 67.2392 -150.5706
25 14 15.3869 58.0474 -67.258
43 5 23.968 85.0264 -236.2844
27 14 22.9168 87.8139 -127.8424
36 6 23.6908 88.5324 -177.0505
32 11 17.6205 61.6097 -110.5965
36 9 20.1968 81.1303 -136.0081
29 18 15.1139 60.2828 -78.4504
28 7 22.3852 81.9338 -139.1584
36 8 15.1425 66.6629 -138.9648
25 15 17.1196 63.9116 -92.9295
35 8 22.0299 84.2589 -176.2694
35 10 19.1114 73.4955 -169.7883
29 12 23.1505 87.7391 -100.7852
34 11 18.47 72.5845 -174.9973
32 17 20.0591 75.6058 -132.4122
21 7 19.2479 74.1177 -98.7793
30 12 24.1307 87.3665 -136.0733
32 10 17.3208 62.6559 -159.1136
30 13 20.0355 82.6252 -94.6961
31 7 22.6152 83.5898 -137.9208
39 9 22.4942 81.7815 -174.0693
32 8 17.9515 69.8552 -153.3133
32 15 18.7815 69.6808 -115.6589
32 7 15.0543 54.1197 -136.1516
32 5 20.8038 77.4294 -166.7878
27 15 23.8935 90.1579 -111.5432
24 11 17.4803 66.8056 -120.4039
36 10 21.3668 84.918 -156.0971
42 21 18.6153 69.0138 -141.3824
32 10 24.5343 91.9041 -158.1365
43 15 18.9462 74.2728 -162.2766
24 7 16.3041 58.7783 -97.1125
32 10 15.8959 60.3018 -113.2795
26 10 16.8531 64.3784 -119.9912
31 13 15.9461 62.7583 -129.5134
21 4 22.8531 84.6957 -142.2591
25 10 19.004 79.472 -102.3639
21 13 22.409 82.7152 -70.6048
28 10 22.3483 78.3608 -113.4805
30 12 24.7776 93.9339 -143.225
28 14 22.801 86.2446 -74.8724
40 11 19.0363 65.9311 -193.6322
38 13 24.9277 90.8228 -183.6785
28 5 15.7852 61.8688 -153.4269
25 4 22.6624 85.6887 -147.7061
23 17 17.8701 68.9273 -50.1713
33 12 15.7804 61.2982 -126.7597
33 7 15.2765 63.1577 -154.8202
28 14 24.1201 86.3015 -93.7122
27 10 21.4948 81.5072 -113.2501
37 11 24.4495 89.2915 -171.7278
38 9 22.4227 85.152 -134.7028
33 10 22.9068 88.7559 -149.8971
17 14 15.0049 51.1335 -25.4909
30 6 15.9115 58.9609 -132.0401
27 13 22.3473 86.6701 -117.5002
31 13 21.8616 83.4252 -160.8028
21 7 17.7664 63.5189 -97.8545
32 8 16.9541 63.6998 -133.3839
37 8 17.7881 59.4685 -156.7974
27 11 23.1308 86.174 -102.7523
37 14 19.9223 73.0387 -133.4552
36 12 23.1931 88.079 -156.1945
35 13 20.8685 77.7831 -154.2367
30 16 19.506 75.4555 -122.2863
26 16 23.8219 88.3998 -122.7307
23 15 18.6281 70.5473 -86.7206
26 13 23.424 87.3172 -88.9477
25 12 20.0185 77.4943 -144.6611
22 16 20.113 73.2142 -114.9116
34 10 21.0898 76.3184 -114.2161
28 10 17.513 64.5601 -113.537
32 8 20.4688 76.779 -163.6584
32 8 16.0325 61.6283 -110.7009
25 10 19.4186 76.5756 -130.2596
24 13 16.3331 57.7543 -107.197
27 8 19.4232 71.8123 -154.3302
20 6 20.9401 79.541 -102.24
30 13 17.4431 72.9009 -73.7007
27 13 20.5258 76.0063 -121.7874
29 9 15.528 63.1893 -95.811
37 10 24.8993 94.2236 -184.8483
31 8 20.5353 79.6733 -136.7373
36 16 21.6541 78.574 -106.7379
36 7 23.9506 94.8019 -181.6967
35 9 19.6645 76.1109 -166.8749
39 12 22.6953 81.1778 -165.5352
30 12 24.4866 91.3068 -119.8881
35 6 22.5876 87.5068 -198.5122
33 9 15.6268 54.3394 -135.1091
28 7 16.5808 65.7284 -161.1286
21 12 21.5357 81.8227 -70.8079
33 12 16.6662 61.1897 -148.1378
39 5 23.2288 86.7715 -186.0516
31 13 16.2295 63.4693 -114.0472
38 9 23.1519 81.1588 -173.3309
29 10 23.4616 92.0237 -123.2381
24 6 20.1959 80.046 -96.8701
31 9 15.1828 64.2219 -126.0887
26 10 24.8136 92.9207 -149.4264
30 8 24.3267 92.3163 -179.2632
30 12 24.8964 98.6226 -130.0668
31 13 20.7632 78.7941 -125.806
31 13 15.0543 61.9309 -126.9918
40 12 18.5681 76.2238 -172.5524
28 4 16.7617 65.5266 -139.6024
30 6 15.9711 64.1473 -185.7783
30 16 15.0234 57.3719 -81.1618
31 10 15.3078 61.918 -157.3856
30 8 15.2736 63.5988 -119.2314
28 10 15.0227 65.894 -126.8702
28 7 17.7734 67.1446 -132.4292
20 10 23.8075 90.1339 -75.6242
29 12 21.884 84.3608 -114.6259
21 8 15.2226 57.4925 -83.9237
31 9 20.0381 69.7422 -164.4253
24 7 21.7951 79.7557 -120.4561
33 14 18.6648 71.125 -131.1033
27 7 17.928 68.3462 -139.4771
38 10 22.0614 81.983 -191.3353
34 7 24.3653 83.3806 -215.1425
34 10 23.6957 85.1127 -164.4852
33 10 21.3737 83.8693 -193.4516
27 4 20.7841 81.5252 -150.2889
32 6 19.223 69.4765 -141.6041
32 12 22.2025 87.1125 -112.6241
21 10 18.3577 68.5103 -54.96
28 11 18.9741 69.7782 -112.6084
19 8 17.2682 64.0774 -111.2283
24 11 19.7479 78.4266 -118.0694
37 14 20.0459 73.2288 -150.7048
28 5 24.3843 98.2775 -151.0207
19 9 18.7982 76.0103 -54.5774
30 14 23.9675 91.5651 -125.3555
36 11 22.967 84.53 -150.2142
34 9 15.0605 54.4081 -137.6921
30 14 20.6167 74.022 -108.3177
31 15 23.9168 87.5088 -101.1425
25 5 18.8429 74.5028 -122.6697
29 7 22.1821 85.306 -158.1754
22 3 19.7482 70.6 -115.5979
34 9 19.9783 78.9673 -165.173
28 6 21.5307 83.8068 -178.8361
30 7 15.7573 66.2342 -113.6158
20 7 24.6086 88.1786 -139.1997
29 7 23.4963 91.1286 -141.7997
42 14 20.7737 76.1762 -171.9322
31 8 22.0251 83.6753 -160.4082
32 7 18.342 69.4998 -120.2918
32 17 24.1722 88.5028 -98.4223
37 4 15.272 58.5842 -196.135
40 14 22.3216 82.0256 -181.5549
34 6 20.1465 76.1916 -163.8339
28 17 16.9595 64.5627 -69.8964
23 13 20.0584 71.559 -73.2514
27 7 15.143 57.4539 -101.363
28 9 20.0151 78.9384 -127.0421
35 8 15.5896 57.5382 -150.0141
17 11 16.3609 64.7921 -79.5573
31 18 22.6604 83.2395 -108.4615
36 6 19.8877 75.239 -177.5636
28 9 17.146 66.9527 -130.7696
28 19 21.5673 85.1528 -78.3123
29 11 20.8147 73.4604 -137.7383
37 3 23.981 90.5773 -184.0246
33 5 19.0729 72.4523 -168.8766
26 5 19.8499 79.1967 -139.4202
25 8 15.119 58.3238 -85.0238
34 9 18.5851 68.6799 -150.1904
39 7 19.4705 75.5841 -155.1886
34 12 19.3076 75.0064 -127.2053
29 7 15.2939 58.0385 -123.2429
38 7 24.0319 87.3046 -178.6399
34 9 18.6596 74.8664 -147.4645
32 9 16.4169 59.557 -163.4967
29 10 22.0771 83.8481 -143.4058
43 9 24.7022 90.8741 -240.9906
25 8 19.2355 70.6083 -95.1652
34 13 15.1748 59.1729 -99.8078
23 8 22.2221 87.0011 -122.5053
35 16 23.9806 95.3661 -96.3929
33 11 21.0925 79.9223 -147.843
26 10 21.1073 78.7058 -152.8559
35 18 15.7442 61.1252 -109.6175
25 10 23.8236 88.2523 -94.4675
27 10 19.916 80.2599 -102.3373
28 8 22.4669 85.134 -140.1988
23 15 16.4937 58.8254 -90.5966
30 12 23.4098 81.6462 -141.2133
31 6 15.9625 59.4086 -143.6095
31 4 19.0822 73.6972 -159.9737
24 6 22.8933 88.7424 -132.1144
25 13 16.7709 63.5317 -72.6867
23 13 21.2522 81.5708 -89.3808
24 11 16.079 57.5789 -90.5232
25 9 16.3983 68.3941 -91.0513
24 8 22.7177 89.4042 -109.5082
41 16 17.6299 69.6753 -155.161
27 9 20.2729 72.4154 -120.9233
26 11 16.1923 62.6307 -121.264
46 14 16.1508 64.2678 -178.6359
41 6 22.779 85.5807 -217.6786
24 8 21.3698 80.918 -112.7945
41 9 21.7586 80.1378 -192.7901
26 11 22.5903 84.6795 -97.6102
38 12 15.9086 60.6897 -172.7496
33 9 21.9731 84.7088 -191.4677
29 7 18.025 72.2189 -173.571
29 11 15.9123 58.3261 -109.6605
20 8 15.9904 65.833 -75.4525
30 9 16.8534 63.4494 -161.6912
28 8 19.473 68.3247 -136.8278
25 9 17.9821 71.7981 -127.4787
41 13 20.079 78.0688 -184.2261
27 9 22.9366 82.6081 -124.3589
33 9 20.0037 80.1447 -143.2295
36 15 17.3292 67.7883 -175.4201
33 14 20.6736 78.8351 -132.787
22 15 23.3468 88.6868 -76.9554
36 7 16.9675 63.3418 -189.7142
48 16 18.8081 69.6564 -179.9457
24 5 21.4538 78.6276 -99.9139
33 12 15.7682 62.9732 -174.393
28 11 24.0588 90.7554 -156.239
26 8 19.3531 75.6133 -139.3924
24 8 17.457 68.5651 -113.8163
34 10 15.9556 56.0395 -137.4893
30 10 20.227 78.8823 -124.2864
28 4 23.9861 88.7163 -152.6253
31 7 16.2304 65.6524 -151.7971
42 9 21.1149 84.9054 -208.8197
45 12 15.6676 62.019 -206.6874
36 10 16.7931 65.629 -153.5733
25 10 22.7205 86.2813 -118.8735
27 8 20.4733 76.3198 -108.4765
32 7 23.5741 90.977 -148.6407
26 6 19.3596 76.1919 -134.4291
34 12 16.9887 65.2139 -101.3626
28 10 18.6492 71.2344 -133.1088
31 5 22.5192 89.4607 -181.2537
30 16 15.351 58.4073 -80.2815
24 12 19.8916 75.9242 -97.7879
34 7 21.2163 79.6796 -150.4097
27 10 18.595 73.9592 -91.873
18 10 23.1037 86.2613 -106.6812
30 13 18.1463 66.3739 -113.8113
36 11 15.2752 58.3979 -167.5826
20 13 20.9109 75.4276 -43.2987
34 6 24.1413 90.333 -167.2807
35 12 20.6229 80.5875 -140.7423
17 12 17.7208 67.5797 -46.3598
36 6 17.3695 68.2064 -182.3661
29 13 21.3411 81.9772 -135.2105
34 13 23.6837 86.4579 -164.4707
24 10 21.315 78.8637 -135.9394
30 11 22.069 85.623 -112.9345
28 10 20.5902 72.8697 -140.4806
32 9 15.5005 62.2617 -161.3126
35 9 24.5653 91.3072 -206.4564
27 15 24.449 90.396 -131.0364
33 6 20.1833 77.1712 -180.3558
33 11 18.71 72.2076 -171.1119
28 15 21.22 82.905 -86.7972
29 13 19.0008 75.8768 -127.1821
37 4 17.3783 64.5415 -205.4882
39 12 22.0446 85.16 -177.56
31 7 16.3135 67.6536 -158.7109
29 14 16.0062 58.4507 -84.6653
34 13 23.9209 91.8222 -114.7038
31 11 18.3765 71.2004 -88.0483
32 8 22.2217 81.8185 -123.3126
28 7 22.0333 79.1776 -127.5725
41 15 22.4268 85.9482 -154.3119
30 15 24.4312 91.9919 -130.7857
29 10 19.4153 75.4675 -119.9477
29 10 24.4818 87.3559 -125.4368
19 11 22.7281 84.9906 -62.0763
41 10 19.4526 78.2972 -202.9248
23 10 22.7922 86.8745 -88.5521
30 10 24.7432 90.5394 -101.659
22 7 22.3193 84.7299 -105.6715
29 14 16.9781 73.7704 -81.1576
40 14 18.4411 72.1101 -149.8504
38 8 24.7305 90.568 -217.9066
21 7 22.6798 87.4788 -90.4237
28 6 20.8617 77.2416 -102.1819
34 10 18.271 69.4245 -147.1418
30 5 24.7165 92.4128 -153.4036
29 15 20.6022 74.2698 -110.3408
28 12 24.4118 89.5579 -99.3936
45 12 22.0426 83.5554 -198.8839
20 14 20.0246 79.4625 -76.3683
27 13 20.2262 76.4178 -113.6075
26 15 23.7662 87.2467 -109.9656
32 10 18.8128 76.2099 -141.176
24 7 15.278 57.2536 -91.0068
42 5 23.2303 82.3053 -204.6684
20 5 16.6312 65.8004 -70.2988
30 7 18.6574 71.1464 -151.1775
32 13 24.2833 92.3882 -137.1288
28 7 24.5017 96.0443 -175.1115
34 3 23.3782 92.1641 -185.042
30 11 24.4709 88.0305 -103.7234
30 15 18.4871 66.554 -115.3462
38 14 18.0412 68.1108 -165.6472
36 12 18.9413 74.1123 -133.6187
26 4 24.2848 89.4906 -161.299
25 11 18.8527 62.8258 -113.316
33 10 15.6447 61.1986 -152.1129
37 14 19.7558 74.4943 -160.789
31 14 19.2975 67.4141 -100.4705
28 9 24.2422 91.8052 -170.3289
28 6 16.896 65.6099 -111.9337
20 7 20.4401 77.5922 -134.878
28 6 16.7752 63.1552 -167.0534
33 13 23.1073 86.653 -110.1452
32 15 22.6895 86.2986 -137.0372
27 7 17.5746 68.2774 -112.0022
33 19 21.7368 79.469 -101.6177
31 11 19.7088 75.7627 -122.8711
41 8 23.105 90.9864 -211.516
34 9 24.2091 91.9523 -153.6579
24 9 17.9294 65.7042 -110.1904
34 15 18.8334 69.9941 -150.3264
39 7 15.1232 61.608 -181.4426
24 12 23.8181 86.8681 -107.5011
29 10 17.8533 66.4602 -114.2246
31 8 16.0864 55.6356 -120.7608
24 12 21.9987 83.265 -106.5191
28 12 18.1602 67.4905 -136.6733
28 11 15.2994 61.0718 -119.7821
29 9 16.3567 64.324 -110.1202
32 9 21.6122 84.2289 -136.4177
38 4 19.0265 71.7027 -191.3626
32 14 16.7519 64.753 -125.1727
19 10 18.7133 66.1994 -87.1218
27 5 24.9089 91.93 -138.1298
36 13 19.5072 76.0295 -143.4475
25 12 16.0171 63.5465 -125.2028
35 10 20.2907 78.3215 -150.6339
24 14 17.1288 62.1123 -79.6829
37 17 23.5553 90.8294 -143.8026
26 11 22.3442 85.4409 -134.8554
32 8 21.5642 78.4865 -113.1354
24 6 15.097 62.3039 -121.527
32 14 17.4732 68.5034 -104.2476
28 7 15.8629 59.0077 -150.8075
27 12 15.2394 57.7916 -95.8708
25 13 21.9317 78.9153 -110.9555
40 11 18.4814 71.9466 -159.2345
34 8 17.9541 68.85 -136.2019
32 11 24.9873 92.6849 -139.7933
22 11 24.3246 93.7743 -115.6087
39 10 21.031 86.6287 -182.5546
31 8 22.063 82.2106 -183.1746
36 11 23.4881 86.3155 -174.2258
21 14 20.1212 81.7241 -64.5719
23 9 17.6734 66.2178 -118.1097
36 9 23.852 88.9956 -152.6289
36 6 20.3015 73.0269 -187.2177
30 16 22.86 80.657 -93.6026
44 10 22.2629 82.7766 -207.7696
32 12 19.6192 77.3961 -139.6626
33 17 18.8177 71.8258 -90.2876
23 16 22.7914 89.363 -70.5125
29 5 19.4268 74.5927 -167.7532
36 6 22.9893 84.6094 -204.7308
37 7 22.9591 88.2345 -176.9703
39 13 23.4298 90.8295 -140.8459
29 11 16.1634 61.1508 -121.564
30 12 24.4564 94.5215 -138.8207
35 12 16.6348 67.584 -155.5265
41 15 23.3394 88.5316 -180.2502
33 9 20.7968 78.5907 -162.7278
35 10 19.2951 72.1071 -178.6397
31 6 23.9338 95.1698 -185.9059
31 9 18.2029 72.4748 -160.1279
28 7 15.1592 54.0211 -126.632
33 9 20.282 80.093 -142.7246
43 14 22.4313 83.2963 -191.5231
42 7 22.0128 80.3109 -206.2576
30 10 17.1201 66.2268 -126.3529
31 8 15.1544 61.7855 -155.3239
30 14 23.0653 86.3408 -91.9523
38 8 19.2693 73.1727 -176.2431
27 10 16.7119 66.7213 -107.6656
30 10 15.0264 59.5777 -140.0734
31 7 24.454 91.3528 -145.5731
27 10 22.8734 87.7682 -123.5383
31 12 17.6641 68.6923 -120.0187
32 3 17.8569 68.1879 -117.2331
31 8 24.865 92.9792 -135.0794
23 18 23.7466 87.7328 -66.2123
31 12 18.7369 71.2025 -118.5895
29 10 18.1951 65.9219 -117.291
27 11 16.8589 66.4253 -68.0749
35 4 22.8115 84.391 -186.6692
33 18 19.1427 76.9907 -85.4936
31 9 22.2994 82.676 -146.3803
29 13 23.2946 85.8379 -113.8917
33 12 17.1073 63.673 -130.831
31 23 20.2486 80.3724 -43.8082
38 10 19.8327 69.5982 -163.9527
28 10 17.5504 74.7798 -93.0679
37 11 19.5745 73.6767 -159.2281
25 14 23.1169 85.1499 -85.6044
28 13 16.9947 67.0677 -102.3591
27 10 16.2803 60.9577 -101.7903
30 4 20.2805 77.7435 -164.2691
48 13 24.1558 95.9806 -216.403
42 14 23.1692 88.3143 -194.078
21 7 23.1977 88.5858 -134.9375
20 10 19.848 78.3984 -79.8756
31 8 24.9838 97.0498 -124.0151
31 8 24.0196 91.314 -147.8027
37 8 23.8647 90.2743 -176.1153
21 9 20.2415 76.6925 -89.4452
38 9 19.1135 71.3661 -142.4615
36 9 15.8851 62.3753 -149.1595
35 8 18.0152 66.251 -169.9704
24 7 20.9608 84.7649 -118.2529
28 12 16.5203 67.7948 -110.0153
40 15 16.722 63.108 -133.5654
30 17 19.3697 75.5371 -77.9418
21 11 19.1128 76.3704 -58.1213
32 8 19.3021 71.5137 -136.0537
29 12 21.1802 75.9915 -116.7386
32 11 24.1288 87.2591 -123.1628
28 2 19.127 63.3418 -128.4416
37 6 24.098 93.0017 -184.5746
27 10 23.1114 88.2239 -111.9679
35 11 19.4071 73.2878 -150.1516
30 8 20.5731 78.5408 -129.5262
32 9 23.4604 90.3279 -185.9725
32 6 20.3515 80.8164 -161.0924
28 10 19.3294 73.7981 -120.4105
36 6 24.8072 93.8968 -158.3799
32 4 24.8448 93.5446 -184.197
27 15 17.6468 66.3226 -92.513
25 14 22.8422 84.748 -108.772
28 6 23.8817 89.8064 -138.2682
27 9 21.4395 81.3909 -113.1693
25 16 17.8176 67.5352 -105.9036
37 16 20.3143 78.3285 -141.3732
36 16 16.6586 64.8911 -147.184
32 15 23.2805 84.6235 -114.5912
27 3 16.601 66.6932 -127.4585
32 9 17.0404 73.4524 -136.208
34 8 16.5166 60.7594 -146.1653
29 11 17.244 65.3045 -131.9838
24 4 20.4791 76.9107 -155.0612
34 10 19.7996 75.8855 -116.3743
38 14 24.0862 86.485 -177.9213
38 6 16.9449 61.4955 -183.1143
38 12 23.8814 86.0246 -182.362
31 8 15.3598 57.6715 -127.5571
23 14 24.2854 94.7108 -96.2385
32 10 22.5613 87.4679 -142.2413
29 15 20.9467 75.7755 -100.7017
28 13 18.5128 74.9793 -69.8545
30 4 18.8803 75.2369 -169.1719
38 11 20.8887 73.3617 -149.0769
32 15 21.1549 82.2212 -132.0111
32 14 22.0593 87.6473 -110.5496
31 7 22.3807 82.435 -190.0303
27 6 18.6583 71.5364 -92.0958
31 10 24.8306 92.0576 -140.0435
30 15 16.1416 62.011 -93.5591
37 5 19.2496 70.8263 -186.2572
24 12 22.7264 87.0588 -71.2924
33 6 17.7412 67.9766 -126.7937
35 12 16.3283 63.3747 -126.374
33 8 15.9181 60.7223 -148.6624
31 15 19.2782 73.3327 -121.0848
40 12 18.5478 64.6662 -192.381
27 14 15.035 52.6536 -75.1077
28 8 16.8698 66.6532 -110.0841
33 15 21.3833 75.1505 -113.1349
35 15 23.764 90.1312 -139.339
25 13 17.0374 69.9943 -101.5886
33 12 24.5327 90.8013 -160.1641
26 11 15.0627 59.8614 -84.6004
23 7 17.2775 66.4159 -113.1842
38 9 24.3519 90.7304 -188.0989
33 9 23.5998 92.3839 -160.414
